Division2,Extranjero,Altura,Peso,Edad,PiernaPreferida,Posicion,Valor,SueldoMensual,CalidadActual,CalidadPotencial
Argentina (Second Division),SI,186,82,27,Diestro,Delantero,500000,6400,110,115
Argentina (Premier Division),NO,189,70,16,Diestro,Arquero,150000,100,82,115
Argentina (Second Division),NO,175,75,32,Zurdo,Mediocampista,250000,5200,104,115
Argentina (Premier Division),NO,185,76,18,Diestro,Mediocampista,240000,100,87,115
Argentina (Premier Division),NO,179,71,17,Zurdo,Defensor,155000,100,78,115
Argentina (Metropolitan Zone),NO,169,64,21,Diestro,Defensor,325000,4000,90,115
Argentina (Interior Zone),NO,172,64,22,Diestro,Mediocampista,235000,4800,101,115
Argentina (Metropolitan Zone),NO,187,87,29,Diestro,Arquero,250000,5200,100,115
Argentina (Interior Zone),NO,184,80,30,Diestro,Arquero,375000,10800,113,115
Argentina (Premier Division),NO,179,75,19,Diestro,Mediocampista,475000,100,101,115
Argentina (Metropolitan Zone),NO,172,67,21,Zurdo,Mediocampista,79000,2100,94,115
Argentina (Interior Zone),NO,183,69,22,Diestro,Arquero,57000,1800,86,115
Argentina (Second Division),NO,168,74,26,Diestro,Mediocampista,425000,4400,96,115
Argentina (Interior Zone),NO,177,72,30,Diestro,Delantero,375000,9200,104,115
Argentina (Metropolitan Zone),NO,183,76,20,Diestro,Delantero,205000,3500,90,115
Argentina (Second Division),NO,192,85,35,Diestro,Defensor,56000,8400,110,115
Argentina (Second Division),NO,181,75,21,Zurdo,Defensor,350000,4400,103,115
Argentina (Metropolitan Zone),NO,182,84,34,Diestro,Delantero,22000,3900,104,115
Argentina (Second Division),NO,177,66,24,Diestro,Mediocampista,300000,4000,101,115
Argentina (Interior Zone),NO,178,74,24,Diestro,Delantero,275000,4400,104,115
Argentina (Premier Division),NO,181,74,18,Diestro,Mediocampista,350000,3500,94,115
Argentina (Premier Division),NO,180,68,19,Diestro,Mediocampista,400000,100,95,115
Argentina (Second Division),NO,177,70,19,Diestro,Delantero,275000,20,90,115
Argentina (Premier Division),NO,170,58,16,Diestro,Mediocampista,200000,100,78,115
Argentina (Premier Division),NO,183,76,17,Diestro,Defensor,190000,100,84,115
Argentina (Interior Zone),NO,186,77,20,Diestro,Delantero,250000,5200,94,115
Argentina (Second Division),NO,193,88,25,Zurdo,Arquero,425000,5600,111,115
Argentina (Second Division),NO,177,74,19,Zurdo,Defensor,325000,4000,92,115
Argentina (Premier Division),NO,186,99,32,Diestro,Defensor,450000,840,114,115
Argentina (Interior Zone),NO,173,75,24,Zurdo,Mediocampista,650000,7600,106,115
Argentina (Metropolitan Zone),NO,172,75,29,Diestro,Mediocampista,350000,6400,110,115
Argentina (Metropolitan Zone),NO,176,67,18,Diestro,Mediocampista,69000,1500,81,115
Argentina (Premier Division),NO,183,81,27,Diestro,Defensor,1300000,14400,114,115
Argentina (Second Division),NO,184,83,34,Diestro,Defensor,52000,7200,111,115
Argentina (Premier Division),NO,185,77,18,Diestro,Defensor,450000,3800,90,115
Argentina (Metropolitan Zone),NO,184,73,17,Diestro,Arquero,84000,20,75,115
Argentina (Premier Division),NO,173,66,20,Diestro,Defensor,325000,100,93,115
Argentina (Premier Division),NO,186,74,18,Zurdo,Mediocampista,230000,100,78,115
Argentina (Second Division),NO,194,83,20,Diestro,Arquero,140000,2100,80,115
Argentina (Second Division),NO,175,72,21,Zurdo,Mediocampista,775000,5600,100,115
Argentina (Premier Division),NO,178,73,20,Diestro,Mediocampista,350000,100,92,115
Argentina (Premier Division),NO,175,69,20,Diestro,Defensor,700000,5600,105,114
Argentina (Second Division),NO,175,76,30,Diestro,Mediocampista,475000,7200,111,114
Argentina (Interior Zone),NO,174,74,22,Zurdo,Delantero,93000,2200,89,114
Argentina (Second Division),NO,170,64,21,Diestro,Delantero,190000,2200,92,114
Argentina (Second Division),NO,182,74,20,Diestro,Mediocampista,140000,2100,82,114
Argentina (Premier Division),NO,179,73,17,Diestro,Mediocampista,250000,100,86,114
Argentina (Interior Zone),NO,179,72,20,Zurdo,Delantero,135000,2500,91,114
Argentina (Premier Division),NO,167,69,18,Diestro,Defensor,375000,100,88,114
Argentina (Metropolitan Zone),NO,183,73,17,Diestro,Delantero,115000,20,77,114
Argentina (Premier Division),NO,174,69,18,Diestro,Mediocampista,190000,100,81,114
Argentina (Premier Division),NO,184,76,22,Diestro,Arquero,245000,3200,98,114
Argentina (Interior Zone),NO,187,78,29,Diestro,Defensor,250000,5600,109,114
Argentina (Second Division),NO,182,70,23,Diestro,Defensor,450000,7200,107,114
Argentina (Premier Division),NO,174,67,18,Diestro,Mediocampista,215000,100,85,114
Argentina (Second Division),NO,191,80,19,Zurdo,Defensor,375000,20,100,114
Argentina (Interior Zone),NO,179,78,44,Diestro,Arquero,9250,1900,93,114
Argentina (Premier Division),NO,185,71,20,Diestro,Arquero,275000,100,90,114
Argentina (Second Division),NO,171,67,25,Diestro,Mediocampista,675000,8800,111,114
Argentina (Second Division),NO,190,75,17,Diestro,Mediocampista,130000,20,65,114
Argentina (Premier Division),NO,186,80,17,Zurdo,Arquero,275000,100,96,114
Argentina (Premier Division),NO,190,79,18,Zurdo,Arquero,115000,100,79,114
Argentina (Premier Division),NO,168,56,16,Diestro,Defensor,185000,100,80,114
Argentina (Metropolitan Zone),NO,185,80,24,Diestro,Arquero,235000,4400,105,114
Argentina (Second Division),NO,181,75,32,Zurdo,Delantero,325000,8000,109,114
Argentina (Second Division),NO,186,76,22,Diestro,Arquero,400000,5200,99,114
Argentina (Second Division),NO,166,72,34,Diestro,Mediocampista,60000,7200,111,114
Argentina (Interior Zone),NO,186,81,23,Zurdo,Delantero,245000,4400,93,114
Argentina (Premier Division),NO,176,67,20,Diestro,Mediocampista,250000,100,94,114
Argentina (Interior Zone),NO,175,74,21,Zurdo,Defensor,87000,2300,86,114
Argentina (Second Division),NO,177,70,21,Zurdo,Defensor,300000,3600,97,114
Argentina (Second Division),NO,185,80,20,Diestro,Defensor,275000,3600,97,114
Argentina (Premier Division),NO,167,62,19,Zurdo,Delantero,600000,100,93,114
Argentina (Premier Division),NO,183,74,20,Diestro,Arquero,130000,400,89,114
Argentina (Second Division),NO,184,83,29,Diestro,Defensor,725000,9600,113,114
Argentina (Second Division),NO,184,83,23,Diestro,Arquero,140000,2300,90,114
Argentina (Second Division),NO,169,70,21,Zurdo,Mediocampista,400000,4800,98,114
Argentina (Premier Division),NO,185,81,19,Zurdo,Defensor,225000,100,94,114
Argentina (Second Division),NO,187,88,26,Diestro,Defensor,500000,7600,107,114
Argentina (Second Division),NO,177,66,20,Zurdo,Mediocampista,475000,3700,95,114
Argentina (Second Division),NO,175,65,19,Diestro,Mediocampista,170000,20,88,114
Argentina (Premier Division),NO,186,77,20,Diestro,Delantero,425000,100,100,114
Argentina (Second Division),NO,180,79,31,Zurdo,Defensor,375000,10000,113,114
Argentina (Second Division),NO,186,87,26,Zurdo,Defensor,475000,6400,108,114
Argentina (Second Division),NO,180,73,20,Diestro,Delantero,500000,3500,95,114
Argentina (Second Division),NO,183,81,27,Diestro,Defensor,675000,9200,112,114
Argentina (Premier Division),NO,183,77,19,Diestro,Delantero,575000,100,94,114
Argentina (Premier Division),NO,178,69,17,Diestro,Defensor,200000,100,82,114
Argentina (Interior Zone),NO,178,69,20,Diestro,Mediocampista,88000,2200,85,114
Argentina (Premier Division),NO,183,78,19,Diestro,Mediocampista,475000,100,90,114
Argentina (Second Division),NO,177,73,21,Diestro,Defensor,140000,2400,89,114
Argentina (Second Division),NO,192,84,34,Zurdo,Delantero,41000,4400,103,114
Argentina (Second Division),NO,181,69,18,Diestro,Mediocampista,225000,20,87,114
Argentina (Premier Division),NO,178,77,28,Diestro,Delantero,825000,6000,111,114
Argentina (Metropolitan Zone),NO,193,83,21,Diestro,Mediocampista,79000,1900,82,114
Argentina (Second Division),NO,185,82,35,Diestro,Arquero,140000,5600,114,114
Argentina (Premier Division),NO,179,69,20,Diestro,Mediocampista,300000,100,90,114
Argentina (Second Division),SI,185,85,27,Diestro,Delantero,975000,9600,113,114
Argentina (Metropolitan Zone),NO,186,83,22,Diestro,Delantero,325000,5600,98,114
Argentina (Premier Division),SI,171,63,24,Diestro,Delantero,625000,4400,104,114
Argentina (Metropolitan Zone),NO,182,80,22,Diestro,Arquero,475000,5600,98,114
Argentina (Metropolitan Zone),NO,180,75,24,Diestro,Defensor,500000,8000,105,114
Argentina (Premier Division),NO,185,74,18,Diestro,Delantero,225000,100,80,114
Argentina (Premier Division),NO,189,77,19,Diestro,Delantero,245000,3000,94,114
Argentina (Second Division),NO,182,71,30,Diestro,Delantero,625000,10000,114,114
Argentina (Interior Zone),NO,174,75,32,Diestro,Mediocampista,195000,8400,107,114
Argentina (Premier Division),NO,180,65,20,Zurdo,Delantero,500000,100,90,114
Argentina (Second Division),NO,180,74,24,Diestro,Delantero,475000,6000,110,114
Argentina (Metropolitan Zone),NO,174,63,20,Diestro,Mediocampista,210000,3700,91,114
Argentina (Second Division),NO,169,61,25,Ambidiestro,Defensor,475000,7200,111,114
Argentina (Second Division),NO,176,74,22,Zurdo,Defensor,325000,5200,102,114
Argentina (Premier Division),NO,175,75,29,Zurdo,Defensor,650000,4000,111,114
Argentina (Interior Zone),NO,190,84,23,Zurdo,Defensor,500000,6000,106,114
Argentina (Premier Division),NO,174,65,18,Diestro,Delantero,175000,100,78,114
Argentina (Interior Zone),NO,172,70,21,Diestro,Delantero,250000,4800,94,114
Argentina (Premier Division),NO,187,97,20,Diestro,Delantero,190000,100,80,114
Argentina (Second Division),NO,184,74,20,Diestro,Defensor,195000,2700,92,114
Argentina (Second Division),NO,163,55,22,Zurdo,Mediocampista,275000,3500,96,114
Argentina (Second Division),NO,178,74,22,Zurdo,Mediocampista,275000,3800,101,114
Argentina (Premier Division),NO,191,83,20,Diestro,Defensor,875000,8000,102,114
Argentina (Premier Division),NO,181,74,18,Zurdo,Defensor,185000,100,88,114
Argentina (Interior Zone),NO,176,74,30,Diestro,Mediocampista,325000,7600,110,114
Argentina (Second Division),NO,188,74,26,Diestro,Arquero,625000,9600,111,114
Argentina (Premier Division),NO,183,74,21,Diestro,Delantero,325000,3600,96,114
Argentina (Second Division),NO,179,78,27,Diestro,Mediocampista,625000,7200,105,114
Argentina (Second Division),NO,181,73,31,Zurdo,Defensor,500000,10000,113,114
Argentina (Premier Division),NO,187,84,20,Diestro,Defensor,175000,100,87,114
Argentina (Interior Zone),NO,170,62,19,Diestro,Delantero,500000,5600,100,114
Argentina (Premier Division),NO,178,69,18,Diestro,Mediocampista,275000,100,82,114
Argentina (Second Division),NO,180,67,19,Diestro,Mediocampista,450000,20,102,114
Argentina (Second Division),NO,194,82,21,Diestro,Arquero,300000,4400,95,114
Argentina (Second Division),NO,192,75,26,Diestro,Defensor,475000,6000,107,114
Argentina (Premier Division),NO,187,78,18,Diestro,Mediocampista,425000,100,94,114
Argentina (Second Division),NO,181,74,21,Zurdo,Defensor,115000,2300,86,114
Argentina (Premier Division),NO,193,77,16,Zurdo,Defensor,135000,100,75,114
Argentina (Second Division),NO,176,77,21,Zurdo,Defensor,240000,2900,89,114
Argentina (Metropolitan Zone),NO,195,94,22,Diestro,Delantero,375000,6800,105,114
Argentina (Second Division),NO,178,71,24,Diestro,Delantero,550000,6800,110,114
Argentina (Second Division),NO,191,82,26,Diestro,Defensor,500000,7600,109,114
Argentina (Interior Zone),NO,193,80,18,Diestro,Defensor,130000,20,72,114
Argentina (Metropolitan Zone),NO,183,76,20,Diestro,Delantero,195000,3600,89,114
Argentina (Premier Division),NO,186,78,19,Diestro,Arquero,170000,100,85,114
Argentina (Premier Division),SI,173,64,19,Diestro,Mediocampista,235000,7200,99,114
Argentina (Second Division),NO,177,68,21,Diestro,Mediocampista,625000,5600,100,114
Argentina (Premier Division),NO,172,67,18,Diestro,Mediocampista,195000,100,89,114
Argentina (Premier Division),NO,180,70,19,Diestro,Arquero,350000,100,89,114
Argentina (Interior Zone),NO,181,79,33,Diestro,Delantero,100000,5600,99,114
Argentina (Premier Division),NO,190,79,18,Zurdo,Defensor,220000,100,89,114
Argentina (Premier Division),NO,167,62,19,Diestro,Delantero,500000,100,94,113
Argentina (Second Division),NO,171,74,31,Diestro,Defensor,450000,9600,108,113
Argentina (Second Division),NO,177,70,24,Diestro,Delantero,700000,7600,107,113
Argentina (Metropolitan Zone),NO,188,78,21,Diestro,Delantero,250000,2900,95,113
Argentina (Premier Division),NO,187,79,22,Diestro,Defensor,250000,4800,97,113
Argentina (Metropolitan Zone),NO,183,86,36,Diestro,Arquero,41500,8000,109,113
Argentina (Second Division),NO,184,77,19,Diestro,Defensor,250000,20,85,113
Argentina (Premier Division),NO,178,72,19,Zurdo,Defensor,200000,100,87,113
Argentina (Premier Division),NO,171,67,19,Diestro,Defensor,425000,100,97,113
Argentina (Metropolitan Zone),NO,174,70,21,Diestro,Delantero,155000,3100,97,113
Argentina (Second Division),NO,179,73,21,Diestro,Defensor,250000,3800,88,113
Argentina (Premier Division),NO,179,79,20,Diestro,Delantero,500000,100,92,113
Argentina (Premier Division),NO,182,74,19,Diestro,Mediocampista,245000,100,88,113
Argentina (Interior Zone),NO,170,66,21,Diestro,Mediocampista,275000,5200,97,113
Argentina (Interior Zone),NO,175,64,23,Zurdo,Delantero,205000,3600,95,113
Argentina (Interior Zone),NO,176,76,23,Diestro,Mediocampista,235000,4400,105,113
Argentina (Interior Zone),NO,171,65,22,Zurdo,Mediocampista,275000,3900,97,113
Argentina (Metropolitan Zone),NO,172,69,30,Diestro,Mediocampista,350000,8000,107,113
Argentina (Interior Zone),NO,191,89,35,Diestro,Defensor,30500,6400,110,113
Argentina (Premier Division),NO,184,73,19,Diestro,Mediocampista,215000,100,85,113
Argentina (Second Division),NO,180,73,20,Diestro,Defensor,150000,2300,84,113
Argentina (Metropolitan Zone),NO,182,74,21,Diestro,Mediocampista,185000,3600,88,113
Argentina (Interior Zone),NO,180,78,36,Zurdo,Delantero,40500,8800,108,113
Argentina (Premier Division),NO,170,61,18,Diestro,Mediocampista,165000,100,70,113
Argentina (Second Division),NO,181,74,28,Diestro,Mediocampista,750000,9200,112,113
Argentina (Premier Division),NO,182,74,22,Zurdo,Defensor,350000,3100,95,113
Argentina (Second Division),NO,175,72,25,Diestro,Mediocampista,525000,6400,110,113
Argentina (Premier Division),NO,175,73,27,Diestro,Mediocampista,650000,5200,105,113
Argentina (Second Division),NO,174,76,31,Zurdo,Defensor,350000,7600,111,113
Argentina (Second Division),NO,180,73,24,Diestro,Arquero,300000,4400,105,113
Argentina (Second Division),NO,182,74,23,Diestro,Defensor,375000,4400,101,113
Argentina (Interior Zone),NO,177,74,36,Diestro,Delantero,20500,3600,100,113
Argentina (Second Division),NO,173,69,20,Diestro,Delantero,205000,20,90,113
Argentina (Interior Zone),NO,183,77,21,Zurdo,Mediocampista,195000,3900,90,113
Argentina (Second Division),NO,169,65,23,Diestro,Delantero,1000000,12000,104,113
Argentina (Second Division),NO,181,78,31,Diestro,Defensor,475000,8400,109,113
Argentina (Premier Division),NO,187,76,19,Diestro,Mediocampista,350000,3800,97,113
Argentina (Metropolitan Zone),NO,169,68,22,Diestro,Mediocampista,195000,3600,90,113
Argentina (Interior Zone),NO,174,67,21,Diestro,Defensor,475000,3800,97,113
Argentina (Premier Division),NO,180,68,18,Zurdo,Defensor,235000,2400,94,113
Argentina (Interior Zone),NO,175,74,33,Diestro,Mediocampista,87000,5200,104,113
Argentina (Premier Division),NO,188,78,18,Diestro,Arquero,325000,100,88,113
Argentina (Interior Zone),NO,185,82,30,Diestro,Defensor,240000,5200,106,113
Argentina (Premier Division),NO,175,71,17,Zurdo,Defensor,170000,100,80,113
Argentina (Second Division),NO,186,78,27,Diestro,Defensor,625000,8000,110,113
Argentina (Second Division),NO,183,72,24,Diestro,Delantero,750000,8400,109,113
Argentina (Premier Division),NO,189,79,20,Diestro,Arquero,225000,100,90,113
Argentina (Premier Division),NO,176,69,17,Diestro,Delantero,170000,100,76,113
Argentina (Second Division),NO,160,60,19,Diestro,Mediocampista,825000,840,100,113
Argentina (Second Division),NO,173,71,22,Diestro,Defensor,120000,1700,78,113
Argentina (Second Division),NO,183,80,29,Diestro,Delantero,725000,8000,110,113
Argentina (Second Division),NO,177,80,28,Zurdo,Defensor,775000,9600,108,113
Argentina (Premier Division),SI,183,72,24,Diestro,Delantero,425000,3600,93,113
Argentina (Metropolitan Zone),NO,178,73,25,Diestro,Mediocampista,375000,5200,102,113
Argentina (Interior Zone),NO,186,81,30,Diestro,Defensor,450000,8000,111,113
Argentina (Premier Division),NO,188,89,18,Diestro,Delantero,250000,100,89,113
Argentina (Interior Zone),NO,173,68,21,Diestro,Mediocampista,98000,2300,93,113
Argentina (Interior Zone),NO,181,74,21,Diestro,Mediocampista,195000,3900,90,113
Argentina (Metropolitan Zone),NO,184,83,24,Diestro,Defensor,325000,6400,104,113
Argentina (Metropolitan Zone),NO,187,82,27,Diestro,Arquero,325000,7600,109,113
Argentina (Second Division),NO,183,82,22,Zurdo,Mediocampista,300000,3100,97,113
Argentina (Metropolitan Zone),NO,165,57,22,Diestro,Defensor,185000,3100,95,113
Argentina (Metropolitan Zone),NO,190,85,20,Diestro,Defensor,225000,4400,90,113
Argentina (Premier Division),NO,170,66,19,Zurdo,Mediocampista,425000,3400,88,113
Argentina (Interior Zone),NO,169,65,30,Zurdo,Delantero,350000,10000,111,113
Argentina (Premier Division),NO,172,66,19,Diestro,Mediocampista,170000,100,84,113
Argentina (Second Division),NO,169,68,25,Diestro,Delantero,600000,5600,110,113
Argentina (Second Division),NO,185,74,18,Diestro,Delantero,175000,20,87,113
Argentina (Metropolitan Zone),NO,194,87,22,Zurdo,Defensor,140000,3100,88,113
Argentina (Second Division),NO,181,79,26,Zurdo,Mediocampista,525000,6800,112,113
Argentina (Premier Division),NO,189,79,24,Diestro,Delantero,375000,6400,106,113
Argentina (Premier Division),SI,176,66,18,Diestro,Delantero,235000,100,87,113
Argentina (Premier Division),NO,177,59,16,Diestro,Arquero,170000,2000,75,113
Argentina (Premier Division),NO,171,61,18,Diestro,Delantero,245000,100,85,113
Argentina (Premier Division),NO,186,71,17,Zurdo,Delantero,185000,100,87,113
Argentina (Metropolitan Zone),NO,173,67,20,Diestro,Delantero,59000,1100,98,113
Argentina (Interior Zone),NO,174,70,24,Zurdo,Defensor,300000,6400,101,113
Argentina (Interior Zone),NO,187,80,29,Ambidiestro,Delantero,205000,3600,100,113
Argentina (Second Division),NO,184,78,23,Zurdo,Defensor,500000,5200,97,113
Argentina (Premier Division),NO,174,73,21,Zurdo,Defensor,210000,2500,88,113
Argentina (Premier Division),NO,174,61,16,Zurdo,Mediocampista,145000,100,75,113
Argentina (Premier Division),NO,179,74,19,Diestro,Defensor,450000,100,90,113
Argentina (Second Division),NO,184,76,22,Diestro,Delantero,525000,6000,102,113
Argentina (Premier Division),NO,182,74,18,Diestro,Delantero,200000,100,80,113
Argentina (Premier Division),NO,183,75,27,Diestro,Defensor,700000,10800,112,113
Argentina (Premier Division),NO,171,62,17,Diestro,Mediocampista,240000,100,80,113
Argentina (Second Division),NO,175,70,28,Diestro,Defensor,600000,6800,112,113
Argentina (Second Division),NO,177,73,21,Diestro,Mediocampista,350000,3700,97,113
Argentina (Second Division),NO,181,77,20,Diestro,Mediocampista,625000,20,103,113
Argentina (Interior Zone),SI,185,72,17,Diestro,Mediocampista,29000,220,70,113
Argentina (Interior Zone),NO,184,75,23,Diestro,Defensor,65000,1700,80,113
Argentina (Interior Zone),NO,177,78,31,Diestro,Delantero,205000,5600,108,113
Argentina (Second Division),NO,184,80,23,Diestro,Delantero,825000,8400,110,113
Argentina (Second Division),NO,177,68,24,Zurdo,Mediocampista,425000,5200,105,113
Argentina (Metropolitan Zone),NO,183,81,30,Zurdo,Defensor,350000,8400,108,113
Argentina (Second Division),NO,182,80,25,Diestro,Defensor,675000,9200,112,113
Argentina (Metropolitan Zone),NO,198,85,20,Diestro,Arquero,70000,2200,80,113
Argentina (Premier Division),NO,187,65,16,Zurdo,Mediocampista,215000,2800,81,113
Argentina (Premier Division),NO,183,74,17,Diestro,Delantero,200000,1900,85,113
Argentina (Second Division),NO,171,65,23,Zurdo,Defensor,240000,3100,98,113
Argentina (Second Division),NO,172,66,29,Diestro,Defensor,625000,8000,108,113
Argentina (Second Division),NO,175,61,21,Diestro,Mediocampista,230000,3200,95,113
Argentina (Premier Division),NO,175,67,22,Diestro,Mediocampista,700000,5200,102,113
Argentina (Interior Zone),NO,171,72,21,Zurdo,Delantero,300000,5200,97,113
Argentina (Second Division),NO,183,79,19,Zurdo,Delantero,275000,3100,95,113
Argentina (Premier Division),NO,175,70,17,Diestro,Defensor,77000,100,70,113
Argentina (Premier Division),NO,169,64,18,Zurdo,Defensor,675000,7600,102,113
Argentina (Premier Division),NO,177,69,18,Zurdo,Defensor,205000,100,88,113
Argentina (Premier Division),NO,185,78,20,Diestro,Arquero,500000,4800,95,113
Argentina (Premier Division),NO,182,70,19,Zurdo,Delantero,275000,100,81,113
Argentina (Metropolitan Zone),NO,180,75,24,Diestro,Mediocampista,350000,6800,105,113
Argentina (Premier Division),NO,187,80,21,Zurdo,Defensor,225000,1800,87,112
Argentina (Second Division),NO,182,80,22,Diestro,Defensor,425000,5600,100,112
Argentina (Second Division),NO,185,83,28,Diestro,Delantero,750000,8800,110,112
Argentina (Second Division),NO,178,78,26,Zurdo,Defensor,525000,8000,109,112
Argentina (Metropolitan Zone),NO,179,72,23,Diestro,Mediocampista,325000,5600,101,112
Argentina (Premier Division),NO,176,70,20,Diestro,Defensor,350000,3100,94,112
Argentina (Metropolitan Zone),NO,179,71,20,Diestro,Mediocampista,275000,20,91,112
Argentina (Premier Division),NO,186,77,18,Diestro,Defensor,300000,100,83,112
Argentina (Metropolitan Zone),NO,190,85,23,Diestro,Arquero,275000,6400,103,112
Argentina (Metropolitan Zone),NO,174,72,24,Diestro,Mediocampista,525000,8000,104,112
Argentina (Second Division),NO,176,69,31,Diestro,Arquero,450000,8000,109,112
Argentina (Premier Division),NO,176,66,17,Diestro,Mediocampista,185000,2400,87,112
Argentina (Metropolitan Zone),NO,178,71,25,Zurdo,Defensor,525000,9600,109,112
Argentina (Interior Zone),NO,176,67,22,Diestro,Mediocampista,98000,2300,90,112
Argentina (Metropolitan Zone),NO,178,67,30,Diestro,Delantero,375000,8400,109,112
Argentina (Interior Zone),SI,184,79,29,Diestro,Defensor,35000,1100,100,112
Argentina (Interior Zone),NO,180,76,30,Diestro,Mediocampista,300000,6400,102,112
Argentina (Second Division),SI,178,66,17,Diestro,Mediocampista,275000,3200,84,112
Argentina (Premier Division),NO,178,69,17,Diestro,Delantero,500000,4800,90,112
Argentina (Second Division),NO,172,76,29,Diestro,Mediocampista,650000,8800,111,112
Argentina (Premier Division),NO,183,71,18,Diestro,Mediocampista,525000,4800,97,112
Argentina (Premier Division),NO,183,80,28,Diestro,Arquero,500000,5600,111,112
Argentina (Interior Zone),NO,189,87,23,Diestro,Delantero,275000,4400,100,112
Argentina (Interior Zone),NO,169,65,21,Diestro,Mediocampista,65000,1700,80,112
Argentina (Premier Division),NO,184,79,19,Diestro,Defensor,325000,100,97,112
Argentina (Second Division),NO,173,73,22,Diestro,Mediocampista,475000,6400,98,112
Argentina (Interior Zone),NO,182,82,35,Zurdo,Defensor,28000,6000,103,112
Argentina (Premier Division),NO,192,79,18,Diestro,Defensor,195000,100,80,112
Argentina (Second Division),NO,182,79,28,Zurdo,Delantero,425000,8000,110,112
Argentina (Premier Division),NO,193,82,19,Diestro,Arquero,145000,100,89,112
Argentina (Premier Division),NO,187,76,18,Diestro,Defensor,375000,4800,93,112
Argentina (Premier Division),NO,168,62,18,Zurdo,Delantero,215000,100,82,112
Argentina (Second Division),NO,186,85,28,Zurdo,Defensor,525000,7200,107,112
Argentina (Second Division),NO,190,87,28,Diestro,Defensor,550000,8400,109,112
Argentina (Metropolitan Zone),NO,187,77,20,Diestro,Mediocampista,145000,2400,80,112
Argentina (Second Division),NO,183,78,22,Diestro,Delantero,625000,7200,105,112
Argentina (Interior Zone),NO,170,68,26,Diestro,Mediocampista,250000,5200,103,112
Argentina (Metropolitan Zone),NO,181,77,30,Diestro,Mediocampista,275000,6400,110,112
Argentina (Second Division),NO,195,90,33,Diestro,Defensor,165000,4800,105,112
Argentina (Interior Zone),NO,183,73,28,Zurdo,Mediocampista,350000,7200,109,112
Argentina (Interior Zone),NO,175,71,22,Diestro,Mediocampista,300000,2600,95,112
Argentina (Premier Division),SI,173,62,17,Zurdo,Defensor,11500,140,85,112
Argentina (Premier Division),NO,192,76,19,Ambidiestro,Defensor,175000,100,81,112
Argentina (Premier Division),NO,180,79,21,Diestro,Delantero,625000,4400,99,112
Argentina (Second Division),NO,183,76,20,Diestro,Arquero,130000,1500,85,112
Argentina (Interior Zone),NO,176,65,26,Diestro,Delantero,350000,5200,100,112
Argentina (Interior Zone),NO,168,62,24,Diestro,Delantero,675000,8000,111,112
Argentina (Second Division),NO,181,78,27,Diestro,Defensor,425000,5600,107,112
Argentina (Second Division),NO,188,77,18,Diestro,Delantero,190000,2100,95,112
Argentina (Premier Division),NO,183,79,21,Zurdo,Defensor,245000,3000,90,112
Argentina (Interior Zone),NO,178,74,26,Zurdo,Mediocampista,400000,7600,105,112
Argentina (Premier Division),NO,193,78,17,Diestro,Mediocampista,215000,100,90,112
Argentina (Second Division),SI,184,76,26,Diestro,Delantero,500000,6000,100,112
Argentina (Premier Division),NO,175,69,19,Diestro,Defensor,300000,100,84,112
Argentina (Metropolitan Zone),NO,179,77,22,Diestro,Defensor,250000,5200,96,112
Argentina (Interior Zone),NO,171,71,21,Diestro,Defensor,79000,1800,90,112
Argentina (Premier Division),NO,181,74,20,Zurdo,Defensor,325000,100,87,112
Argentina (Premier Division),NO,185,75,22,Zurdo,Defensor,400000,4400,94,112
Argentina (Interior Zone),NO,174,70,30,Zurdo,Mediocampista,325000,6800,110,112
Argentina (Interior Zone),NO,175,71,19,Zurdo,Defensor,140000,3100,94,112
Argentina (Interior Zone),NO,171,67,20,Diestro,Mediocampista,98000,2000,80,112
Argentina (Second Division),NO,172,67,25,Zurdo,Delantero,700000,7600,106,112
Argentina (Interior Zone),NO,175,69,23,Zurdo,Defensor,220000,4400,94,112
Argentina (Premier Division),NO,180,69,18,Diestro,Mediocampista,190000,100,87,112
Argentina (Second Division),NO,177,78,24,Diestro,Mediocampista,500000,5600,105,112
Argentina (Metropolitan Zone),NO,184,90,28,Diestro,Arquero,250000,6000,106,112
Argentina (Premier Division),NO,184,75,21,Diestro,Delantero,245000,3000,94,112
Argentina (Metropolitan Zone),NO,180,73,19,Diestro,Defensor,105000,20,76,112
Argentina (Second Division),NO,189,80,22,Diestro,Delantero,600000,5200,97,112
Argentina (Second Division),NO,178,76,33,Diestro,Defensor,195000,6400,108,112
Argentina (Metropolitan Zone),SI,188,76,19,Zurdo,Delantero,500,640,70,112
Argentina (Metropolitan Zone),NO,170,67,23,Diestro,Mediocampista,88000,2100,90,112
Argentina (Metropolitan Zone),NO,175,68,23,Diestro,Mediocampista,350000,4400,100,112
Argentina (Metropolitan Zone),NO,178,73,23,Diestro,Delantero,350000,5200,103,112
Argentina (Second Division),NO,190,87,32,Diestro,Defensor,275000,5600,109,112
Argentina (Metropolitan Zone),NO,178,75,26,Diestro,Delantero,575000,8800,107,112
Argentina (Second Division),NO,170,70,22,Diestro,Delantero,425000,4800,96,112
Argentina (Interior Zone),NO,184,80,34,Diestro,Delantero,45000,6000,108,112
Argentina (Premier Division),NO,181,73,19,Diestro,Arquero,170000,2500,88,112
Argentina (Premier Division),NO,167,63,16,Diestro,Mediocampista,215000,2700,82,112
